Source,Target
CHOWWW,GUNTOQ
RIEAII-3,GUNTOQ
BOAPAU,GUNTOQ
NATFPT-2,GUNTOQ
MIRIUP,GUNTOQ
GORROA-6,GUNTOQ
MILER-4,GUNTOQ
MAMRFR,GUNTOQ
KARSWA-3,GUNTOQ
COGAMR,GUNTOQ
PILEIA,GUNTOQ
FANCRM,FERWTP-2
CAVIAD-3,FERWTP-2
FERURA-2,FERWTP-2
FERFAE-4,FERWTP-2
FEROTC-4,FERWTP-2
FERHKA,FERWTP-2
ATEBNP,PIGTDP
SFELDE,PIGTDP
SFETDB,PIGTDP
SFEDDF,PIGTDP
KERTPU,PIGTDP
WINCSI-4,PIGTDP
MATIHO,PIGTDP
BOUDP-6,PIGTDP
MARGVB,PIGTDP
VIRCSU,PIGTDP
KTTCAA,PIGTDP
SFECTR,PIGTDP
AXTOAF,PIGTDP
SCHQAM-3,PIGTDP
DAWIPA-2,PIGTDP
LAMEMP,PIGTDP
FERFSA-2,PIGTDP
FASLPD,PIGTDP
SCOSAI-3,PIGTDP
YARBVS,PIGTDP
ECKIDO,PIGTDP
PSIHSI,PIGTDP
SIESFO,PIGTDP
LOCSAA,PIGTDP
FERTMA-6,PIGTDP
MILEIT-11,FARCOT-2
GRACTO-2,FARCOT-2
HUGFTF,FARCOT-2
GRAWIP-5,FARCOT-2
SHAETO-3,FARCOT-2
KOYAMD,FARCOT-2
DAN_SA-15,FARCOT-2
TANTC,FARCOT-2
FARPDI,FARCOT-2
FARCAT-11,FARCOT-2
FARWSS-2,FARCOT-2
NOREPO-2,FARCOT-2
EVELTP,FARCOT-2
ESFHTS,FARCOT-2
SLARPO,FARCOT-2
QURCSR,FARCOT-2
JACABA,FARCOT-2
YANCNA,SALCMR
TIAMRI,SALCMR
TOMICO-2,SALCMR
KOOMDA,SALCMR
BAUTRA-4,SALCMR
MORMDA-6,SALCMR
FARMDA-2,SALCMR
HAKMNN,SALCMR
VARETC,SALCMR
KOVETE,SALCMR
KOVMRA,SALCMR
DACBVE,HOFCMA
HABCSP,HOFCMA
LEBMSI-2,HOFCMA
BAUSPO,HOFCMA
ELATMR,HOFCMA
SHITEP-5,HOFCMA
KELTRO-24,HOFCMA
EMABAH,HOFCMA
ALSCAF,HOFCMA
THOTCF-8,MKAEAO
BLAEGO,MKAEAO
NEMTPA-2,MKAEAO
MKATST-2,MKAEAO
CHOTAE-3,MKAEAO
MKACAA-2,MKAEAO
ZIOAGA,MKAEAO
ROBAII-4,MKAEAO
FLOTEL-2,MKAEAO
BOOCAD,MKAEAO
MINWAI,MKAEAO
BECACO-11,MKAEAO
MKAEAO-2,MKAEAO
MAYTBT-4,SEKPOE
CONVAV,SEKPOE
PECPCW,SEKPOE
PERDSM-2,SEKPOE
NUNPAT,SEKPOE
ARJVAT,SEKPOE
